house_name,location,bedroom_count,bathroom_count,carport_count,price,land_area,building_area (m2)
Rumah 2 Lantai di Maleber Barat belakang Bagus,"Andir, Bandung",6,4,0,1400000000,170,350
Rumah Bagus 3 Lantai Siap Huni di Sayap Rajawali,"Andir, Bandung",3,3,1,3250000000,184,300
Dijual Rumah di Rajawali Bandung,"Andir, Bandung",5,4,0,2200000000,87,150
"Dijual Cepat Harga Murah Rumah Nyaman Siap Huni di Maltra Residence,bandung","Andir, Bandung",3,2,1,2300000000,137,170
Town house bagus cluster Paledang cibeureum,"Andir, Bandung",0,0,0,3900000000,124,200
Rumah dekat Jl Suryani / Nana Rohana / Jamika / Pagarsih / Sudirman,"Andir, Bandung",2,1,1,875000000,78,45
RUMAH TENGAH KOTA LOKASI STRATEGIS,"Andir, Bandung",9,3,0,10500000000,660,200
Jual Rumah Siap Huni di Jl.Elang Bandung,"Andir, Bandung",3,2,1,1700000000,126,98
"Rumah Posisi Tenah Kota di Halteu Selatan, Bandung","Andir, Bandung",3,2,0,2300000000,102,94
JUAL / SEWA Sayap CIBADAK ( Gg.Citepus ),"Andir, Bandung",3,1,0,900000000,75,100
Rumah Cantik Asri di Tengah Kota,"Andir, Bandung",7,4,8,11000000000,891,500
Rumah Area Kota di Ence Azis,"Andir, Bandung",5,3,1,5000000000,142,160
Rumah Cocok Untuk Pasutri Baru di Ence Azis,"Andir, Bandung",1,1,0,1500000000,35,70
"Rumah Minimalis Paledang Dekat Cibereum, Garuda Andir","Andir, Bandung",2,2,0,1350000000,137,160
Rumah Lama Bisa Utk Gudang Area Andir Bandung,"Andir, Bandung",3,2,1,2750000000,346,220
Rumah Jl Ciroyom ,"Andir, Bandung",6,5,0,4000000000,228,400
"RUMAH USAHA UNTUK GUDANG, KANTOR, HOME INDUSTRI RAJAWALI MAINROAD","Andir, Bandung",9,3,3,8250000000,760,970
For Sale: Rumah Kost-Kostan Sangat Strategis Kawasan Sayap Andir Bandung Kota,"Andir, Bandung",8,3,0,1600000000,193,180
For Sale: Rumah Siap Huni Town House Sayap Andir Bandung Kota,"Andir, Bandung",3,2,1,1150000000,49,72
Kost an Sayap Sudirman Andir,"Andir, Bandung",6,6,0,775000000,84,84
"Rumah Bagus Terawat Di Jl Garuda, Dadali Srigunting Andir ","Andir, Bandung",4,3,3,6250000000,625,457
Rumah Asik Baru Renovasi Jl Nyi Empok / Citepus Bandung [AL],"Andir, Bandung",3,2,0,1100000000,110,126
TURUN HARGA! RUMAH RAJAWALI SAKTI DEKAT PUSAT KOTA,"Andir, Bandung",6,3,0,1650000000,161,200
Rumah Komplek Dadali Bandung,"Andir, Bandung",3,2,0,2200000000,140,160
RUMAH RAJAWALI SAKTI BANDUNG,"Andir, Bandung",6,3,0,1900000000,161,200
Rumah Minimalis Daerah Maleber Vg ,"Andir, Bandung",5,4,1,1750000000,170,350
Rumah Sekaligus Bisa di Jadikan Toko Lokasi di Halteu Utara,"Andir, Bandung",3,2,1,3500000000,348,200
Rumah di Jalan Halteu Utara (HSO),"Andir, Bandung",4,2,1,1800000000,89,145
Rumah Rajawali Sakti ,"Andir, Bandung",2,3,0,3900000000,270,450
Rumah hitung tanah saja di Komplek Sayap Rajawali Timur,"Andir, Bandung",2,3,1,2000000000,158,150
"Rumah Bagus Komplek Dadali, Bandung Lokasi Strategis","Andir, Bandung",4,3,4,5400000000,394,400
Rumah Cocok Untuk Usaha Umkm Di Maleber,"Andir, Bandung",4,1,1,3100000000,350,258
Rumah dan Tempat Usaha Strategis di Sayap Rajawali,"Andir, Bandung",12,6,1,18500000000,1016,1500
menjual tanah kavling atau rumah indent free desain bebas banjir.,"Andir, Bandung",3,2,1,657000000,160,140
"Rumah Rajawali Sakti Dapat Untuk Home Industry, Gudang, Kantor","Andir, Bandung",2,3,0,3900000000,270,450
"Rumah Strategis di Komplek Dadali Bandung Dkt Rs , Stasiun Kereta","Andir, Bandung",4,3,0,5800000000,400,400
Jual Asset Sangat Murah Rumah Pusak Kota Andir Bandung,"Andir, Bandung",2,2,0,1240000000,216,273
"Dijual Rumah Nyaman 2 Lantai Siap Huni di Sayap Sudirman, Bandung","Andir, Bandung",4,3,3,3750000000,202,300
Dijual Disewakan Rumah Pelita Karya Maleber Bandung ,"Andir, Bandung",3,2,0,1500000000,275,300
Dijual Disewakan Rumah Pelita Karya Maleber Bandung ,"Andir, Bandung",3,2,0,1500000000,110,200
Rumah Murah Mainroad Sudirman  Untuk Usaha Harga dibawah NJOP,"Andir, Bandung",3,2,0,2500000000,205,205
Rumah  Strategis Akses Gang di Maleber Bandung ,"Andir, Bandung",4,3,0,300000000,140,100
"Rumah Bagus SHM di Jl Burung Tungku, Bandung","Andir, Bandung",4,3,0,5750000000,780,400
Rumah Pasteur Bonus Furnished Exclusive 1.3KM SMAN 13 Andir Cibeureum,"Andir, Bandung",12,3,2,1990000000,104,125
Rumah Pasteur Bonus Furnished Exclusive 1.3KM SMAN 13 Andir Cibeureum,"Andir, Bandung",4,3,2,1990000000,104,125
Dijual rumah jalan rajawali sakti hunian nyaman dan aman,"Andir, Bandung",3,2,1,2500000000,180,110
"RUMAH 2 LANTAI HITUNG TANAH LUAS COCOK BUAT HOME INDUSTRI, KOST KOST AN, RUANG USAHA ATAU GUDANG DEKAT BANDARA HUSEIN","Andir, Bandung",6,3,0,1350000000,180,160
